subgroup	name	mu	se	sigma	lb	ub	z	p
Brace	Cudejko 2017 	0.225925925925926	0.152667289912258	2.33073014091533E-02	-7.32964639194339E-02	0.525148315771286	1.47985810225473	0.138911118980695
Brace	Hjartarson 2018 	0.242996228983315	0.207402884755281	4.30159566048125E-02	-0.163505955426748	0.649498413393378	1.17161450897865	0.241351860249553
Brace	Hunter 2011	0.469976879999433	0.168738846458906	2.84727983042821E-02	0.139254818147144	0.800698941851722	2.78523226786365	5.34893924433533E-03
Brace	Hunter 2012	1.10312011401223E-02	0.158118693052031	2.50015210924824E-02	-0.298875742524402	0.320938144804647	6.97653195026874E-02	0.944380450921088
Exercise	Foroughi 2011	0.34511838512583	0.205869215753685	4.23821339950372E-02	-0.058377863276898	0.748614633528558	1.67639626868134	9.36605993146702E-02
Foot orthosis	Bennell 2013	1.86486973743647	0.625513454097989	0.391267081257597	0.638885895559163	3.09085357931378	2.98134232800104	2.86987787559889E-03
Foot orthosis	Tan 2020	-7.72699074451176E-02	0.447880635727487	0.200597063859658	-0.955099822843896	0.80056000795366	-0.172523438794377	0.863026036128153
Foot orthosis	Barrios 2009 	0.390896788633332	0.18633997282819	3.47225854736105E-02	2.56771530099078E-02	0.756116424256756	2.09776132678601	3.59262343877051E-02
Foot orthosis	Bar-Ziv 2010	-0.148148148148148	0.280493696354961	7.86767136948691E-02	-0.697905690894385	0.401609394598089	-0.528169260391037	0.597381862740504
Foot orthosis	Bennell 2011	0.326685760192401	0.104208444606874	0.010859399927384	0.12244096187799	0.530930558506812	3.13492597864617	1.7189748016686E-03
Foot orthosis	Erhart 2010	0.284006624638203	0.200031716852333	0.040012687746892	-0.108048336158084	0.67606158543449	1.41980796399334	0.15566359578462
Foot orthosis	Hatef 2014	0.507353193476974	0.136026976077351	1.85033382207482E-02	0.240745219439475	0.773961167514473	3.72979836873291	1.91633060392604E-04
Foot orthosis	Hinman 2016 	0.604070311642525	0.161179749812553	2.59789117496373E-02	0.288163806972744	0.919976816312306	3.74780524442455	1.78388678477193E-04
Foot orthosis	Pham 2004	0.21394045448454	0.117570292891996	1.38227737707098E-02	-1.64930852355983E-02	0.444373994204678	1.81968122407479	6.88075642610346E-02
Foot orthosis	Reichenbach 2020	0.7	0.106873843145196	1.14220183486239E-02	0.490531116546033	0.909468883453966	6.54977849958104	5.762257337949E-11
Foot orthosis	Rodrigues 2008	0.188578571601179	0.269626850458392	7.26986384881122E-02	-0.339880344562237	0.717037487764595	0.699405757551879	0.484298490703669
Foot orthosis	Tan 2019	0.731927296919327	0.339499469003175	0.115259889453438	0.066520564902631	1.39733402893602	2.15590115374372	3.10913843723863E-02
Foot orthosis	Toda 2005	0.459431378393167	0.22416903075846	5.02517543511874E-02	2.00681516573338E-02	0.898794605129	2.04948639354291	0.040414576995454
Foot orthosis	Toda 2008	-0.126097794455532	0.162865001157988	2.65250086021914E-02	-0.445307331067262	0.193111742156198	-0.774247343253387	0.43878453621226
Manual therapy	Akbarnezhad 2019	0.695269166124185	0.297813413144337	8.86928290486793E-02	0.111565602248338	1.27897273000003	2.33457975845843	1.95653849939115E-02
Manual therapy	Alkhawajah 2019	0.58501800793659	0.241983784043998	5.85561517402524E-02	0.110738506367635	1.05929750950554	2.41759178305196	1.56235932395323E-02
Manual therapy	Pollard 2008	0.169769163446697	0.244276938357784	5.96712226134527E-02	-0.309004837988271	0.648543164881665	0.694986455078464	0.487063790061639
Manual therapy	Tanaka 2018	0.458831467741123	0.262828741518923	0.069078947368421	-5.63033997379538E-02	0.9739663352202	1.74574312188794	8.08555983700525E-02
Multimodal physiotherapy	Bennell 2005	0.818345354607435	0.141149045798784	1.99230531299072E-02	0.541698308389624	1.09499240082525	5.79773919105364	6.72148736668987E-09
Multimodal physiotherapy	Deyle 2000	0.32329267114227	0.170966133391573	2.92294187668653E-02	-1.17947928812847E-02	0.658380135165825	1.89097492426652	5.86276916570823E-02
Taping	Hinman 2003	0.485727534317144	0.196342910692502	3.85505385792037E-02	0.100902500740076	0.870552567894212	2.47387355420159	1.33656992803082E-02
Taping	Pinheiro 2020	0.523809523809524	0.275340783831816	7.58125472411187E-02	-1.58484959758633E-02	1.06346754359491	1.90240441869839	5.71183038009191E-02
Taping	Rahlf 2019	1.58020407456052E-02	0.145874096999584	2.12792521754439E-02	-0.270105935650881	0.301710017142091	0.108326571136549	0.913736645914276
Taping	Anandkumar 2014	-0.159617376893525	0.225026537713131	5.06369426751592E-02	-0.600661286377006	0.281426532589956	-0.709326902131912	0.478121637735796
Taping	Cho 2015	0.139849881797182	0.209531464350858	4.39034345530149E-02	-0.270824241958438	0.550524005552802	0.667440960384856	0.504490509632633
Taping	Donec 2020	0.485306617302194	0.156867444286329	2.46073950769245E-02	0.177852076154146	0.792761158450242	3.09373700521548	1.97652611785526E-03
Taping	Hayati 2019	1.12903413826132	0.301728383568433	9.10400174508193E-02	0.537657373353705	1.72041090316894	3.74188906230379	1.82642144340273E-04
Taping	Kocyigit 2015	0.657777380028915	0.246610577717061	6.08167770419426E-02	0.174429529496859	1.14112523056097	2.66727155873902	7.64698556611187E-03
Taping	Leon-Ballesteros 2020	1.42307692307692	0.354663041182846	0.125785872781065	0.727950135711096	2.11820371044274	4.01247594993484	6.00852021455101E-05
Taping	Mutlu 2017	0.931480095433189	0.274708226467945	7.54646096891638E-02	0.393061865299144	1.46989832556723	3.39079796557123	6.96894538979365E-04
Taping	Ogut 2018	4.10997468263393	0.561128207154893	0.314864864864865	3.01018360590081	5.20976575936705	7.32448419136309	2.39808173319034E-13
Taping	Wageck 2016	0.75	0.240612225223777	5.78942429271377E-02	0.278408704321357	1.22159129567864	3.11704860092822	1.82671454812122E-03
