subgroup	name	mu	se	sigma	lb	ub	z	p
Brace	Cudejko 2017 	0.213151250133457	0.152458394303371	0.023243561993562	-8.56617118419557E-02	0.51196421210887	1.39809454971247	0.162084676353931
Brace	Hjartarson 2018 	0.729620951678515	0.186699678040713	0.034856769780506	0.363696306793493	1.09554559656354	3.90799255432785	9.30661736626703E-05
Brace	Hunter 2011	0.157337603136155	0.15713731455752	2.46921356263491E-02	-0.150645874023926	0.465321080296236	1.00127460863894	0.316694065023339
Brace	Hunter 2012	0.105409255338946	0.158552479920337	2.51388888888889E-02	-0.205347894964425	0.416166405642317	0.664822495314534	0.506164032731142
Exercise	Foroughi 2011	0.603700623814984	0.24312828111897	0.059111361079865	0.127177949198673	1.0802232984313	2.48305388841035	1.30261380154513E-02
Foot orthosis	Bennell 2013	1.62811165972657	0.681963897617579	0.46507475765376	0.291486981639554	2.96473633781359	2.38738687695101	1.69686240326128E-02
Foot orthosis	Tan 2020	1.61629623066423	0.53691325563699	0.288275844078712	0.563965586793582	2.66862687453488	3.01034890402672	2.60947744297013E-03
Foot orthosis	Barrios 2009 	0.508386794310511	0.179620915606385	0.032263673323276	0.156336268851888	0.860437319769134	2.83033182741687	4.64997496278596E-03
Foot orthosis	Bar-Ziv 2010	1.56422308393854	0.295179220033418	0.087130771939537	0.985682443688417	2.14276372418866	5.29923171340262	1.16290975293865E-07
Foot orthosis	Bennell 2011	0.221470199008916	9.97338460299582E-02	9.94684004392742E-03	2.59954527505348E-02	0.416944945267297	2.22061223771908	2.63772362167001E-02
Foot orthosis	Erhart 2010	0.575607094575426	0.185159848561975	3.42841695194936E-02	0.212700460011064	0.938513729139788	3.10870363659194	1.87910102897648E-03
Foot orthosis	Hatef 2014	1.84444518451511	0.217682733052329	4.73857722691314E-02	1.4177948676763	2.27109550135392	8.47308906247389	0
Foot orthosis	Hinman 2016 	0.766564431094221	0.162329021616198	2.63507112588721E-02	0.448405395080849	1.08472346710759	4.72228824804134	2.33205843191975E-06
Foot orthosis	Pham 2004	0.106795681632194	0.110745955099159	1.22646665708249E-02	-0.110262401795647	0.323853765060035	0.964330313794054	0.334880347518973
Foot orthosis	Reichenbach 2020	1.8641092980036	0.157040527776845	2.46617273644301E-02	1.55631551944782	2.17190307655938	11.8702434613089	0
Foot orthosis	Rodrigues 2008	1.85714285714286	0.412650714581834	0.170280612244898	1.04836231836775	2.66592339591797	4.50052015304233	6.77873771226523E-06
Foot orthosis	Tan 2019	1.33513513513514	0.396998416719781	0.157607742878013	0.557032536444945	2.11323773382534	3.36307420610581	7.70796413712915E-04
Foot orthosis	Toda 2005	0.918388265277072	0.260193929772475	6.77008810904435E-02	0.408417533927077	1.42835899662707	3.52962986523226	4.16141413259519E-04
Foot orthosis	Toda 2008	-0.124550988502885	0.153088853540477	2.34361970783377E-02	-0.424599627876748	0.175497650870978	-0.813586264593413	0.415882009162021
Manual therapy	Akbarnezhad 2019	3.20886889551033	0.662701171305032	0.439172842449061	1.90999846723996	4.5077393237807	4.8421053628006	1.28470607663189E-06
Manual therapy	Alkhawajah 2019	3.15909724285759	0.54726354231372	0.299497384745761	2.08648040987089	4.23171407584429	5.77253370378294	7.80883180340197E-09
Manual therapy	Pollard 2008	0.862322429584315	0.22969879828577	5.27615379339268E-02	0.412121057652075	1.31252380151655	3.75414427946416	1.73934660826935E-04
Manual therapy	Tanaka 2018	0.986666070043373	0.30483140492814	9.29221854304636E-02	0.389207495027473	1.58412464505927	3.23675990758225	1.20895079171679E-03
Multimodal physiotherapy	Bennell 2005	0.699953336444237	0.13059229332816	1.70543470767083E-02	0.443997144862552	0.955909528025922	5.35983646971687	8.32973179321073E-08
Multimodal physiotherapy	Deyle 2000	1.36788043431502	0.242183779534101	5.86529830694221E-02	0.893208948788393	1.84255191984165	5.64810920428473	1.62222122401801E-08
Taping	Hinman 2003	0.56472463973825	0.199953180671924	3.99812744608189E-02	0.172823607027049	0.956625672449451	2.82428435417005	4.73863237161698E-03
Taping	Pinheiro 2020	0.568176659382748	0.27825795683546	7.74274905422446E-02	2.28010855735459E-02	1.11355223319195	2.04190624356062	4.11608323376589E-02
Taping	Rahlf 2019	8.50879117071052E-02	0.146128766908791	2.13536165182838E-02	-0.201319208539374	0.371495031953584	0.582280364825184	0.560377849060252
Taping	Anandkumar 2014	1.97948663722157	0.384654629081035	0.147959183673469	1.22557741773613	2.73339585670701	5.14614016722141	2.65900772511429E-07
Taping	Cho 2015	2.02661727144114	0.36436894718378	0.132764729671816	1.31246725787615	2.74076728500613	5.56199228036565	2.66712094632027E-08
Taping	Donec 2020	0.565758053330648	0.154591388454935	2.38984973844246E-02	0.262764499638934	0.868751607022362	3.65969967011178	2.52511022103663E-04
Taping	Hayati 2019	1.9907574901568	0.284309445335291	8.08318607068607E-02	1.43352121683507	2.54799376347853	7.00208003223061	2.52198262273851E-12
Taping	Kocyigit 2015	0.428571428571429	0.228018037579515	5.19922254616132E-02	-1.83357129099213E-02	0.875478570052779	1.87955055275825	6.01693576818432E-02
Taping	Leon-Ballesteros 2020	0.832050294337844	0.290059675557661	8.41346153846154E-02	0.263543776877456	1.40055681179823	2.86854866240255	4.12359760130987E-03
Taping	Mutlu 2017	1.07749656231785	0.281113804437223	7.90249710451695E-02	0.526523630063856	1.62846949457184	3.83295500011089	1.26613121363528E-04
Taping	Ogut 2018	4.2059551209603	0.563543776808467	0.317581588379551	3.10142961470403	5.31048062721657	7.46340443111625	8.43769498715119E-14
